Query,RetrievedDocuments
381,FT932-9008 LA082690-0003 FT922-461 LA062890-0193 LA060390-0065 FBIS4-51121 FT934-3850 FT931-8380 FT941-4655 FBIS3-43068 FT944-9805 LA090189-0086 FR941202-0-00007 FT922-2196 FT931-9959 FR940805-2-00060 FT924-14045 FT931-11436 FT943-2494 FR940920-2-00084 FT932-10111 FR940414-2-00052 FT933-9289 FT923-11707 FBIS3-22651 FT923-11706 FT941-5246 FT924-648 FT941-1813 FT932-13564 FT932-13546 FT941-1666 FR940128-0-00034 FR941220-1-00040 FT921-3035 FR940819-0-00049 FT941-8656 FT934-11102 FT943-45 FR940812-2-00254 FBIS3-33405 FT942-10816 FT941-14569 LA021190-0024 FT924-4757 FT923-11710 FT932-13548 FT942-11804 FT943-14026 FT943-13520 FT932-12624 FT931-4998 FT943-8070 LA061389-0023 FT931-5796 LA110489-0043 FT924-9559 FT911-3526 FT941-1820 FT932-9586 FT923-11711 FBIS4-47579 FT922-576 FBIS3-59753 FT924-11213 LA092790-0201 FT923-5219 FR940713-2-00097 FT923-11712 FT921-5586 FT932-12941 FR940127-1-00076 FT922-5117 FT933-12115 LA101890-0216 FT931-10995 FR940323-2-00082 FT922-15340 LA050290-0172 LA120490-0138 FT933-13035 FT942-14766 FT941-1816 FT923-15307 FT932-13933 LA092790-0006 FT922-549 FT921-5106 FT924-7380 FT943-14924 FT934-2667 LA090789-0051 FT924-9331 FT931-7470 FT934-9312 FT922-10562 LA071390-0149 FBIS3-61562 FT934-15392 FR940913-2-00019
382,FBIS3-24648 FBIS3-47041 FBIS4-44698 FT942-15408 FT931-15783 FBIS4-44852 LA050990-0048 FT923-14293 FT942-15407 FBIS4-44872 FT944-18127 FR941219-1-00027 FBIS3-59723 FBIS4-44701 FT944-16550 FBIS4-44635 LA041989-0041 LA101289-0199 FBIS4-53915 FT944-18230 FBIS4-66430 FBIS4-20560 FBIS3-40529 FBIS4-66472 FBIS3-60383 FBIS3-59553 FT942-15763 FBIS4-44726 FBIS4-66447 FBIS4-44893 FT941-17640 FT923-11292 FBIS3-59884 FT933-2369 FBIS3-43108 LA042990-0226 FR940817-2-00018 FT924-2358 FBIS3-3924 FBIS4-22629 FBIS4-20567 FBIS4-66452 FBIS4-38 FBIS4-44731 FBIS4-29696 LA031290-0101 FBIS4-44854 FBIS4-66490 FBIS4-44700 FBIS3-59665 FBIS3-60662 FBIS4-68611 FR940830-2-00026 FBIS3-59725 FT943-11934 FBIS4-20649 FT933-4206 LA032489-0053 FT944-136 FT931-450 FBIS3-59783 FR940817-2-00019 FT931-10650 FR940303-2-00168 FT924-2212 FT943-8478 LA040189-0001 LA051890-0016 FBIS3-20985 LA020190-0022 FT924-12512 LA092590-0140 FBIS3-59651 LA042389-0078 FT933-4197 LA111690-0053 FT934-14189 FT921-15508 FBIS3-59698 FT944-3280 FBIS3-40371 LA120290-0170 LA060590-0055 FT924-4725 FBIS3-21198 LA122589-0045 FR940728-2-00029 LA050489-0037 FT933-4422 FBIS4-44853 FBIS4-67596 FT932-11810 FT934-814 FR941219-1-00026 FT923-118 LA062389-0066 LA061889-0037 FBIS3-59697 LA051089-0021 FT934-2684
383,LA062489-0059 LA070390-0063 FBIS3-43068 FT942-16465 FBIS4-45174 FBIS4-57642 FT933-4868 LA092790-0201 LA012889-0124 LA071289-0145 FT922-715 FR940819-0-00049 LA090389-0060 FT921-4262 FT933-13608 LA111290-0137 FT911-4557 LA082490-0058 LA091989-0013 FT942-14582 LA112089-0015 LA050789-0077 LA010590-0095 FBIS3-13955 FT924-1386 LA061089-0052 LA060989-0161 LA100189-0099 LA062590-0042 LA100590-0070 LA012689-0118 LA111890-0042 FT932-13133 FBIS4-22952 FT941-10250 LA020590-0126 FBIS4-67329 FT942-38 FBIS4-21239 LA111689-0162 FT942-4346 FBIS4-57568 LA080489-0045 LA052790-0101 FBIS4-67018 LA112689-0073 LA100489-0051 LA082090-0069 LA032290-0148 LA101890-0216 LA121390-0235 LA083090-0243 LA121489-0078 FBIS4-67326 LA122790-0224 FBIS3-60008 FT934-4647 FBIS3-21945 FBIS4-45491 FT921-7658 LA100889-0135 FBIS4-67121 FR940112-2-00082 LA032690-0013 FBIS4-65617 FT934-10862 LA010990-0051 LA071390-0149 LA031289-0044 FBIS4-64906 LA093089-0065 LA051089-0101 LA042390-0120 LA032590-0031 LA022590-0121 LA121490-0059 LA021989-0101 FBIS4-67016 FBIS4-64347 LA043089-0057 LA040590-0119 LA032590-0030 LA122989-0039 LA011890-0174 FBIS4-67220 LA010190-0004 LA101690-0121 LA021989-0084 FBIS3-22651 FR940817-2-00241 LA110989-0224 FR940817-2-00240 FBIS4-67328 FT923-11709 LA031990-0019 LA110989-0127 FBIS3-22088 FT942-4338 FT941-4655 LA030490-0051
384,FT934-10103 LA021290-0037 FBIS4-28821 FBIS3-56306 FBIS3-42531 FBIS3-23696 FBIS3-42544 FBIS3-59774 LA102289-0040 FBIS4-44690 FBIS3-42541 FBIS3-59901 LA070290-0143 FBIS3-42535 FBIS3-21022 FBIS4-44901 LA071689-0207 LA092990-0085 LA072189-0108 FBIS3-40520 FBIS3-39094 FBIS3-40521 LA071090-0133 FBIS3-56960 LA072289-0042 LA072190-0065 FBIS3-29781 FBIS3-23691 LA092990-0100 FT933-5505 LA061789-0038 FBIS3-20888 FBIS3-40351 LA020589-0049 FBIS3-21242 LA051290-0077 FBIS3-59677 LA042689-0150 FBIS4-44900 LA011190-0213 FBIS3-21237 LA051990-0069 FT943-15250 FBIS3-42394 FBIS3-42376 FBIS4-44785 FT933-678 FBIS3-40516 FBIS3-21021 FBIS3-21014 FBIS4-29162 FBIS3-40346 FBIS3-21244 FT924-10484 FBIS4-44844 FBIS3-21231 LA122189-0171 FBIS4-20866 FBIS4-44870 FBIS3-40357 FBIS4-62583 FBIS3-40388 FBIS3-40552 FBIS4-66418 FBIS4-20507 LA091189-0054 FBIS4-20472 FBIS3-21239 FBIS4-44683 LA121190-0089 FBIS3-59693 FBIS3-42527 LA092489-0134 FBIS3-42518 FBIS3-20913 FT921-5383 FBIS4-20602 LA081389-0022 FT922-13455 FBIS3-26589 LA083090-0083 FBIS4-20916 FT931-15783 LA120890-0048 FT941-15661 FT943-10128 LA040289-0050 FBIS4-44904 FBIS4-44650 FT933-2180 FBIS4-20917 FT942-13537 FR940412-2-00117 FBIS3-59755 FBIS3-42526 LA100690-0129 LA051289-0137 FBIS4-22151 FBIS3-61405 LA112789-0004
385,FT924-2358 FBIS4-44854 FT943-11627 LA042990-0226 FT923-11292 FT944-18230 FBIS4-44698 FT944-4751 LA051890-0016 FT941-17640 FT943-11934 FBIS4-44853 FBIS3-40471 FBIS4-45674 FBIS4-6674 FBIS4-67596 FBIS3-40529 FBIS4-44635 FT944-18127 FT924-2212 FT923-14293 FBIS3-59761 FBIS3-59783 LA031290-0101 FBIS4-44700 FT923-10730 FT933-2369 FT943-8478 FBIS3-40371 FT931-12869 LA101289-0199 FBIS4-44893 FT933-4197 FT931-10650 FT921-15508 FBIS4-44701 FT942-15407 FT924-4725 FBIS3-59723 FT931-15783 FT923-118 FBIS4-44852 FR940303-2-00168 FT944-3280 FBIS4-68611 FT941-7919 FBIS4-20567 FBIS4-20560 FT944-136 FBIS3-47041 FT941-5576 FT932-11810 FT933-9208 FR941219-1-00026 LA111690-0053 FT933-4206 FBIS4-22629 LA032889-0141 FBIS3-24648 FBIS3-40372 LA020190-0022 FT931-3043 FT934-14189 FT944-15615 LA050489-0037 FR941219-1-00027 FT934-814 LA010490-0157 LA092590-0140 FT924-12512 FR940830-2-00026 FT944-16970 FT942-15408 FT943-15023 FT921-1556 LA121489-0092 FT934-3790 FT922-1008 FBIS3-59698 FT942-15763 LA090590-0086 FT941-7483 FBIS3-59697 FBIS4-20611 LA010690-0096 FBIS4-44731 LA060590-0055 FT933-4422 LA061889-0037 FT922-5738 FT941-12792 LA072390-0100 FT924-1031 FT924-5855 FT922-4419 FT932-10258 LA071789-0107 LA092690-0049 FBIS4-66447 FT944-14409
386,FBIS3-20548 FR940610-2-00228 LA110890-0095 FR940725-0-00064 FBIS3-25790 LA020790-0126 LA102790-0129 LA110890-0003 LA111789-0137 FBIS4-24438 LA032390-0166 FR941219-2-00053 FT922-8032 LA042990-0046 LA112689-0048 FT932-7548 LA051689-0021 LA032090-0119 LA011890-0044 LA020989-0132 LA071290-0180 FT924-14456 FT931-795 LA121790-0008 FT942-17431 FT911-2266 FR940725-0-00048 FR940406-2-00175 LA050490-0082 FT932-15930 FR940725-0-00044 FT932-16036 FBIS3-26642 FR940208-0-00003 FT911-2030 LA021590-0189 FT933-10701 FT921-2818 FT924-9247 FT921-13152 FT942-208 LA090690-0218 FT921-16055 FBIS4-11145 FT911-1893 FBIS3-46231 FT943-16828 FT944-16270 FT944-16265 LA021989-0084 LA032889-0083 LA041190-0152 LA041290-0089 LA012890-0118 LA061289-0041 FT932-6486 FT932-14490 LA030890-0192 FT931-14358 LA102890-0131 FT911-788 LA010189-0040 FT932-15488 FT932-5529 LA031190-0045 FT941-17193 FT921-13008 LA061090-0035 LA120890-0014 FT921-4473 LA050390-0077 LA020290-0097 FBIS4-48308 LA060290-0115 LA042089-0180 FBIS4-66261 FT944-10306 FT932-14272 LA092489-0075 FT942-8447 FT932-9552 FT932-6738 FT932-16392 FR940208-0-00002 LA031689-0153 LA070289-0024 FT932-10756 FT941-17072 FT922-6600 FT932-5509 LA102190-0090 FT941-17152 FT934-12112 FT941-16870 FT943-5027 LA071689-0171 LA020190-0092 FR940110-2-00093 FT934-14058 FT942-9445
387,FBIS3-61559 FBIS4-17581 FBIS4-67442 FBIS4-21466 FBIS4-66481 FBIS4-14906 FBIS4-21460 FBIS4-67454 FBIS4-16996 FBIS3-61561 FBIS4-16797 FBIS4-20666 FBIS4-67519 FBIS4-21469 FBIS3-17250 FBIS4-15413 FBIS3-28953 FBIS3-22831 FBIS4-17302 FBIS3-23614 FBIS4-21350 FBIS4-21536 FBIS3-22780 FBIS3-41608 FBIS4-5049 FR940826-2-00024 FBIS4-22439 FBIS3-22216 FBIS3-61560 FBIS4-67377 FBIS3-41458 FBIS3-41464 FBIS3-42376 FT923-531 FBIS4-67522 FBIS4-16665 FBIS3-6833 FBIS4-66480 FBIS4-45686 FBIS4-45685 FBIS4-38660 FT933-10243 FBIS4-67375 FBIS4-68757 FBIS4-21463 FBIS4-64603 FT934-8374 FT922-3363 FR941005-2-00040 FBIS3-22192 FR940317-2-00024 FBIS3-43039 FBIS3-43001 FBIS4-67374 FBIS4-64772 FBIS3-19535 FBIS3-6062 FBIS3-43042 FBIS3-43004 FT944-9355 LA111990-0049 FBIS3-61557 FBIS4-42714 FT943-14601 FBIS3-40271 FT943-10163 FR941103-2-00017 FBIS3-21073 FBIS3-41508 FR941103-2-00018 FBIS3-41662 FBIS3-1564 FR940128-2-00066 FR941202-0-00006 FR940406-2-00181 FBIS4-67490 FBIS3-40486 FR940406-2-00182 LA122890-0132 FR941202-0-00007 FBIS3-2711 FT924-13435 FBIS3-22199 FBIS3-22334 FT921-8000 FT943-7475 FBIS3-59635 FBIS4-44727 FBIS3-22419 FBIS3-22301 FBIS4-67574 FR940406-2-00179 LA111890-0124 FBIS3-4717 LA021090-0109 FT923-9203 FT943-6546 FBIS3-22136 FBIS4-46037 FBIS3-4146
388,LA021190-0042 FT941-15271 LA091789-0046 FT923-12118 FT942-16489 FT942-14635 FR940524-2-00030 FT943-15995 FT941-2555 FT921-4720 LA041790-0025 LA101989-0042 LA122389-0118 FT942-12504 FR940907-2-00010 FBIS3-40521 FBIS3-60353 FT911-1483 FR941026-1-00019 FR940523-0-00045 FR940525-0-00004 FT941-1060 LA072990-0199 FT941-9169 FT941-11128 FT911-4197 FBIS3-39889 LA051090-0097 FBIS4-51140 FBIS4-45607 FBIS4-4930 FR940810-2-00026 FBIS4-67351 LA072389-0087 FR940303-1-00065 FT941-3180 FBIS3-42851 FR941222-0-00090 FR940128-2-00102 LA072389-0158 FR940826-0-00003 FT923-772 FT932-14880 FBIS4-22502 FR940523-2-00004 LA040890-0113 LA092389-0150 LA040689-0080 FBIS3-22368 FBIS4-45740 LA052890-0005 FBIS3-40420 FBIS4-66725 FBIS3-22240 FR940523-0-00042 FR941013-1-00066 FT942-12366 LA120190-0157 FT922-9059 FR940617-1-00044 FT921-15852 FBIS3-24074 FR940713-1-00030 FBIS3-60307 FT933-12277 LA062190-0187 FBIS3-24520 FBIS3-22421 FR940628-1-00024 FBIS4-20505 FR940303-1-00062 FT932-13105 FT942-48 FT942-4204 LA032289-0074 FR940511-1-00077 FR941206-0-00013 FR940303-1-00059 FR940303-1-00056 FR940118-1-00041 FBIS3-41653 FR940222-2-00002 FR940728-2-00029 FBIS4-47305 LA102390-0098 LA040289-0050 FR940830-1-00063 FR941019-2-00059 LA051290-0016 FR940128-2-00067 FR940303-1-00041 LA012289-0087 FBIS3-60336 FR940630-0-00086 FT923-2548 FR940317-2-00006 FBIS3-41666 LA091190-0062 LA121089-0232 FR940303-1-00060
389,FT923-8931 FT924-8781 FT922-4060 FBIS4-39617 LA061690-0015 FT922-3845 LA121289-0059 FBIS4-19393 FT923-9311 FT943-13649 LA061089-0068 FT932-11786 FBIS3-7295 LA033090-0001 LA071989-0125 FT921-3700 FT944-12009 FR941026-2-00014 FT934-3990 FT931-6663 FBIS3-60689 FT932-11918 LA042589-0134 FBIS3-24271 FBIS4-44914 FT924-7696 FT922-3374 FR940407-2-00136 FT942-8553 FT934-12696 FT944-15783 FBIS3-43017 FBIS3-42979 LA082390-0236 FT933-8576 FT942-9936 FR940902-0-00010 LA032890-0148 LA031989-0182 FBIS3-43220 FBIS3-43166 FT933-7170 FT933-7146 LA110190-0213 LA122789-0010 FT911-3757 FT923-2796 FT923-11425 FT931-15801 FT944-18257 LA062490-0162 FT924-4322 FT934-1458 LA060790-0163 FT933-12086 FBIS4-20472 FT922-14115 FBIS3-20171 FBIS3-21514 FT924-2798 LA011289-0182 FT931-3885 FBIS4-67741 LA082889-0070 FT924-10031 LA031089-0061 LA030989-0197 FBIS4-66776 FT934-1546 FT944-16684 FT934-13364 FBIS4-14583 FR940811-2-00107 FT933-11586 FT942-13117 FT932-5610 FBIS3-43140 FBIS3-43194 FT944-15440 FT921-6989 FBIS4-15213 LA030589-0037 FT922-12038 FT934-5574 FT933-11094 FT942-5019 FBIS4-3214 FT941-9238 FT931-8281 FR940516-0-00056 FT933-8481 FBIS3-20469 FBIS3-54784 FT933-11258 FT933-10713 FT942-12826 FT911-3920 FBIS3-26326 FT934-4898 FBIS4-31028
390,FT941-10753 LA111090-0112 FR940830-2-00058 LA091989-0013 LA101489-0072 FBIS4-67326 FBIS4-57642 FBIS4-45174 LA112689-0073 FT921-4262 FBIS3-60116 LA022590-0121 FR941202-0-00007 LA112689-0070 FBIS4-45456 FBIS4-67328 FT934-4647 FBIS4-28726 FBIS4-67027 LA121690-0051 FR940912-2-00110 FBIS3-21945 FBIS3-21943 FBIS4-66983 FT933-13608 FBIS4-56686 FBIS4-67038 FBIS4-28073 FBIS4-53900 FBIS3-2893 FR940913-2-00019 FBIS4-45375 FR941205-2-00005 FBIS3-60008 FBIS4-45326 FBIS4-21328 LA032289-0033 LA032590-0031 FBIS4-45211 FT941-14569 FT924-3822 FBIS3-21899 LA062690-0105 FT923-4690 FBIS3-21752 LA092490-0071 FBIS3-60025 FR941213-2-00016 LA010189-0040 FBIS4-22214 FR940318-2-00107 FBIS4-45241 FBIS4-67121 FT931-10995 FBIS4-57568 FT941-10432 LA041290-0037 FT943-2071 FBIS4-66984 LA032590-0030 LA092889-0230 FT931-11436 FR940318-2-00109 FBIS4-45299 FT942-14413 LA082490-0058 FBIS4-64906 LA100189-0099 FBIS4-21016 FR940128-0-00034 FR940819-0-00049 FBIS3-60044 FBIS4-67016 FT942-4346 FBIS4-64347 FT934-3850 FBIS3-41389 LA032590-0032 FBIS4-45491 LA032590-0034 FT922-3792 FBIS4-65616 FBIS4-21239 FBIS4-27446 FT922-576 FT924-10092 FT922-2196 FBIS4-22377 FBIS4-21038 LA050689-0031 FT942-6647 LA041289-0054 FBIS4-45310 LA011090-0074 FBIS4-30503 FBIS4-67329 FR940513-2-00108 FBIS3-22088 FT924-4826 FBIS4-53424
